a =00000000 , gray = 00000000 
a =00100100 , gray = 00110110 
a =10000001 , gray = 11000001 
a =00001001 , gray = 00001101 
a =01100011 , gray = 01010010 
a =00001101 , gray = 00001011 
a =10001101 , gray = 11001011 
a =01100101 , gray = 01010111 
a =00010010 , gray = 00011011 
a =00000001 , gray = 00000001 
a =00001101 , gray = 00001011 
a =01110110 , gray = 01001101 
a =00111101 , gray = 00100011 
a =11101101 , gray = 10011011 
a =10001100 , gray = 11001010 
a =11111001 , gray = 10000101 
a =11000110 , gray = 10100101 
a =11000101 , gray = 10100111 
a =10101010 , gray = 11111111 
a =11100101 , gray = 10010111 
a =01110111 , gray = 01001100 
a =00010010 , gray = 00011011 
a =10001111 , gray = 11001000 
a =11110010 , gray = 10001011 
a =11001110 , gray = 10101001 
a =11101000 , gray = 10011100 
a =11000101 , gray = 10100111 
a =01011100 , gray = 01110010 
a =10111101 , gray = 11100011 
a =00101101 , gray = 00111011 
a =01100101 , gray = 01010111 
a =01100011 , gray = 01010010 
a =00001010 , gray = 00001111 
a =10000000 , gray = 11000000 
a =00100000 , gray = 00110000 
a =10101010 , gray = 11111111 
a =10011101 , gray = 11010011 
a =10010110 , gray = 11011101 
a =00010011 , gray = 00011010 
a =00001101 , gray = 00001011 
