gray = 00000000  binary = 00000000 
 gray = 00100100  binary = 00111000 
 gray = 10000001  binary = 11111110 
 gray = 00001001  binary = 00001110 
 gray = 01100011  binary = 01000010 
 gray = 00001101  binary = 00001001 
 gray = 10001101  binary = 11110110 
 gray = 01100101  binary = 01000110 
 gray = 00010010  binary = 00011100 
 gray = 00000001  binary = 00000001 
 gray = 00001101  binary = 00001001 
 gray = 01110110  binary = 01011011 
 gray = 00111101  binary = 00101001 
 gray = 11101101  binary = 10110110 
 gray = 10001100  binary = 11110111 
 gray = 11111001  binary = 10101110 
 gray = 11000110  binary = 10000100 
 gray = 11000101  binary = 10000110 
 gray = 10101010  binary = 11001100 
 gray = 11100101  binary = 10111001 
 gray = 01110111  binary = 01011010 
 gray = 00010010  binary = 00011100 
 gray = 10001111  binary = 11110101 
 gray = 11110010  binary = 10100011 
 gray = 11001110  binary = 10001011 
 gray = 11101000  binary = 10110000 
 gray = 11000101  binary = 10000110 
 gray = 01011100  binary = 01101000 
 gray = 10111101  binary = 11010110 
 gray = 00101101  binary = 00110110 
 gray = 01100101  binary = 01000110 
 gray = 01100011  binary = 01000010 
 gray = 00001010  binary = 00001100 
 gray = 10000000  binary = 11111111 
 gray = 00100000  binary = 00111111 
 gray = 10101010  binary = 11001100 
 gray = 10011101  binary = 11101001 
 gray = 10010110  binary = 11100100 
 gray = 00010011  binary = 00011101 
 gray = 00001101  binary = 00001001
